MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
0.9063,262.079,4,0.0,-3.33
4.2589,490.597,3,0.4,-5.72
1.9435,335.364,4,0.6,-5.92
1.3393,106.819,7,0.2,-0.47
0.6835,354.28,2,0.0,-5.23
3.159,196.297,6,0.8,-3.33
3.549,358.847,5,0.2,-1.11
0.5746,81.339,0,0.2,-0.66
2.8044,128.697,6,0.8,-2.88
1.5192,435.082,6,0.8,-2.61
3.4033,152.231,0,0.4,-1.98
1.2846,426.669,8,0.4,-0.23
3.6092,175.674,5,0.2,-2.38
2.2403,339.297,1,0.0,-2.64
4.7153,362.368,4,0.4,-5.91
1.1188,280.695,3,0.0,-5.51
2.0348,187.39,6,0.4,-2.54
1.0106,145.69,7,0.8,-0.38
4.6611,64.935,0,0.8,-0.8
4.448,186.776,4,0.2,-0.1
1.6607,343.923,2,0.6,-2.83
3.4699,472.237,0,0.4,-1.27
4.1775,442.042,2,0.8,-0.96
2.9984,394.729,5,0.2,-2.11
2.8834,404.801,6,0.0,-3.97
1.5883,349.243,7,0.0,-3.18
0.919,167.129,3,0.2,-0.85
4.5375,458.238,2,0.2,-4.21
4.5519,351.83,4,0.6,-0.46
3.349,302.198,8,0.6,-4.62
2.0256,99.945,5,0.2,-1.5
2.0714,251.175,8,0.4,-2.22
3.7668,257.161,5,0.0,-1.5
4.537,439.054,1,0.8,-3.38
4.4919,295.992,4,0.8,-0.4
4.0094,221.18,8,0.8,-2.21
3.3891,489.56,7,0.8,-4.27
0.8786,99.824,6,0.0,-2.17
1.2273,240.147,0,0.0,-4.28
4.5435,68.911,3,0.4,-4.24
3.2289,382.957,6,0.8,-3.6
0.5414,463.134,6,0.0,-0.89
0.9566,176.017,5,0.0,-3.0
3.4858,436.254,7,0.8,-1.93
0.5228,181.498,5,0.0,-3.65
1.2236,459.847,9,0.4,-4.42
2.9693,389.283,2,0.6,-0.27
3.6135,412.208,3,0.2,-2.38
3.4338,58.103,2,0.0,-0.4
1.5092,483.265,0,0.6,-4.78
3.7048,377.002,9,0.6,-5.12
1.5676,187.138,4,0.8,-0.87
1.9643,423.228,0,0.2,-1.91
3.8592,176.685,0,0.0,-4.88
3.4233,442.739,1,0.6,-4.38
4.3215,100.661,3,0.4,-1.2
3.4593,366.659,5,0.2,-3.28
3.0574,293.314,7,0.6,-1.98
0.9215,93.441,2,0.2,-4.09
2.1547,158.852,0,0.2,-3.71
1.6934,55.582,2,0.0,-0.06
1.598,260.946,2,0.2,-4.51
4.8785,185.569,4,0.4,-2.96
2.2689,319.261,3,0.4,-0.93
4.5142,183.757,3,0.6,-4.56
3.3401,184.964,8,0.8,-3.51
4.0767,384.437,6,0.0,-2.31
2.7619,71.664,3,0.0,-3.11
3.0961,456.303,2,0.0,-3.24
2.7163,433.519,5,0.0,-3.82
1.3786,350.512,2,0.6,-2.48
3.751,316.95,5,0.6,-2.25
1.7635,451.536,8,0.6,-2.08
0.6094,133.399,5,0.2,-5.58
3.4046,85.536,3,0.2,-2.21
1.297,157.78,4,0.4,-0.28
4.7321,407.56,5,0.0,-2.75
4.7927,65.602,2,0.6,-1.71
4.6169,312.263,7,0.8,-2.66
2.1657,497.947,3,0.2,-0.87
0.5696,435.063,7,0.6,-0.42
4.6774,284.651,9,0.4,-4.89
2.4268,78.638,9,0.0,-3.38
4.8499,424.118,2,0.4,-3.65
4.8363,319.54,9,0.2,-3.57
4.3385,101.72,6,0.0,-5.25
1.825,92.236,8,0.6,-1.12
2.2329,459.332,3,0.8,-5.79
4.3301,351.14,7,0.2,-2.83
1.9261,423.179,2,0.2,-2.03
1.2627,445.541,6,0.8,-4.76
3.0056,307.298,2,0.8,-0.56
4.7127,282.851,6,0.6,-0.97
3.6321,243.692,9,0.2,-3.17
3.0653,192.626,9,0.8,-3.53
0.9373,245.568,5,0.0,-4.58
3.2675,398.246,1,0.6,-1.62
4.9552,320.866,2,0.0,-5.21
1.1304,451.635,5,0.6,-1.92
2.8325,249.521,3,0.2,-0.95
4.4482,323.19,5,0.4,-4.63
3.8335,334.088,0,0.2,-0.8
3.6366,316.264,9,0.0,-5.8
3.6612,366.185,0,0.6,-0.52
2.1177,156.845,2,0.8,-5.29
1.8212,280.564,7,0.8,-2.13
4.1421,96.901,7,0.0,-4.5
4.1455,223.03,3,0.6,-0.98
4.4018,269.45,5,0.6,-2.93
4.6096,343.501,7,0.2,-5.19
2.801,477.739,6,0.0,-2.57
2.7568,320.293,6,0.6,-3.55
4.0923,384.617,3,0.8,-2.03
3.4248,277.82,8,0.6,-0.71
3.6589,335.347,9,0.4,-3.54
4.0811,81.919,5,0.4,-4.26
4.505,164.476,2,0.0,-5.91
2.021,212.834,4,0.6,-2.55
2.1901,262.622,4,0.6,-3.59
0.9229,70.542,4,0.0,-3.75
3.1023,113.011,7,0.8,-4.9
0.6617,174.566,8,0.2,-3.42
2.5952,487.19,8,0.8,-0.09
2.9419,199.106,5,0.2,-4.21
1.7894,266.918,5,0.0,-2.4
3.1587,138.244,8,0.2,-1.34
0.6373,324.851,3,0.4,-1.51
0.6681,176.307,5,0.0,-4.03
4.2017,143.147,3,0.4,-2.33
2.1209,282.458,0,0.4,-0.77
1.0718,52.478,6,0.6,-5.91
2.8501,53.449,9,0.0,-3.39
3.965,148.581,5,0.4,-4.65
1.4712,66.525,8,0.0,-3.67
3.303,98.612,6,0.6,-3.5
0.8841,202.487,6,0.0,-1.52
0.7326,411.164,1,0.8,-5.44
2.8911,307.422,8,0.6,-2.92
2.9329,280.7,9,0.4,-2.61
3.3684,182.07,8,0.4,-3.04
3.7674,469.289,5,0.0,-1.61
4.8913,228.657,2,0.2,-3.7
2.8234,89.192,0,0.8,-0.33
1.9533,327.68,3,0.8,-3.11
4.0783,101.227,2,0.0,-2.57
1.7187,205.35,0,0.4,-1.05
2.4754,278.335,2,0.6,-4.35
0.8531,443.4,3,0.6,-5.55
0.6141,272.096,7,0.0,-1.75
4.8319,366.016,8,0.2,-3.1
4.2619,496.768,2,0.2,-0.62
3.6319,109.17,5,0.8,-0.1
2.3403,173.629,9,0.4,-3.61
1.2798,227.559,4,0.4,-3.51
1.204,239.823,5,0.8,-3.55
1.6261,234.959,3,0.6,-4.05
2.9715,458.425,9,0.8,-1.31
3.7157,371.315,5,0.4,-1.45
3.4709,323.557,6,0.0,-3.13
1.7597,189.218,8,0.8,-5.73
4.7969,420.706,9,0.4,-4.14
3.8205,479.777,6,0.0,-4.25
2.9946,419.539,5,0.2,-1.13
3.2527,50.704,0,0.0,-5.47
2.3882,336.381,1,0.4,-1.17
1.6148,73.011,0,0.8,-1.98
2.1019,165.923,8,0.8,-1.61
3.9103,76.786,9,0.8,-3.41
0.5648,321.708,9,0.0,-1.92
1.0223,358.965,8,0.2,-2.35
0.707,101.519,6,0.0,-1.39
0.6833,222.727,1,0.8,-3.32
4.3496,255.306,5,0.2,-3.16
3.6665,216.074,3,0.6,-2.14
2.6338,104.461,0,0.6,-5.35
0.9403,238.527,0,0.4,-3.38
2.7123,388.03,4,0.2,-0.17
2.6306,81.953,1,0.8,-5.77
1.2794,86.081,3,0.8,-4.1
2.4523,209.647,0,0.2,-4.12
2.2933,473.777,3,0.4,-2.2
3.2713,350.858,5,0.8,-5.37
3.3579,355.401,9,0.0,-2.23
0.7039,212.864,3,0.4,-5.43
2.1858,317.147,0,0.0,-5.43
3.3164,54.559,6,0.4,-1.63
2.7641,336.243,1,0.0,-4.06
4.3542,460.979,8,0.4,-0.14
3.4641,325.658,2,0.2,-5.78
1.2332,443.164,7,0.4,-3.33
0.8176,375.788,7,0.8,-5.32
3.3909,104.251,2,0.8,-3.89
0.6193,456.104,3,0.8,-0.01
3.136,79.9,1,0.6,-0.67
4.731,290.285,3,0.0,-5.71
3.0896,113.962,8,0.2,-2.62
2.2468,55.268,1,0.8,-2.11
3.3948,239.915,2,0.2,-4.74
2.5621,182.768,3,0.0,-5.13
2.9553,268.7,4,0.6,-0.57
4.7366,309.74,0,0.2,-0.19
2.2375,69.683,6,0.2,-0.05
4.8254,105.351,9,0.8,-1.26
4.5741,301.389,6,0.8,-2.02
1.3811,204.425,8,0.4,-3.93
0.8121,378.128,3,0.8,-4.97
0.9535,343.531,5,0.6,-5.53
0.582,430.522,1,0.6,-1.84
0.925,361.622,3,0.0,-1.29
3.5735,243.469,1,0.0,-1.04
0.8203,352.835,9,0.6,-0.52
1.9354,173.922,4,0.8,-0.72
4.3019,187.841,6,0.6,-0.0
0.6047,405.043,0,0.0,-4.54
4.1651,250.889,9,0.0,-1.42
1.7683,409.271,9,0.8,-2.48
1.0317,420.09,6,0.0,-4.43
3.6353,435.903,9,0.4,-0.11
3.3302,462.486,5,0.0,-0.61
4.4486,243.943,5,0.0,-5.23
3.8078,193.49,7,0.6,-5.84
4.1157,311.989,7,0.6,-1.87
1.7692,217.028,5,0.2,-2.38
1.2985,320.483,2,0.2,-0.39
3.8778,367.514,4,0.8,-4.6
4.1308,359.782,1,0.2,-5.49
4.9573,218.549,4,0.4,-4.44
2.3568,125.087,8,0.8,-5.89
2.1741,243.738,9,0.0,-5.78
3.9939,114.167,0,0.8,-0.51
2.0336,450.544,9,0.0,-3.89
4.6884,205.645,4,0.4,-3.54
4.3629,119.507,5,0.2,-5.89
2.4305,61.451,6,0.8,-4.38
3.8789,340.62,8,0.2,-1.17
3.8954,336.606,5,0.2,-2.31
0.9641,203.272,4,0.8,-1.48
4.5615,82.27,6,0.4,-3.32
2.7736,234.333,0,0.4,-4.14
4.2191,190.048,4,0.2,-3.1
1.9402,354.704,1,0.6,-4.06
4.5299,322.601,3,0.0,-0.97
2.2514,214.067,6,0.0,-4.21
0.5488,148.052,4,0.4,-2.04
4.5742,494.616,5,0.2,-5.18
0.9108,254.301,1,0.8,-1.88
1.9369,359.723,2,0.8,-0.52
4.7753,113.249,6,0.6,-2.35
4.7777,268.515,1,0.8,-2.64
3.0805,62.392,5,0.6,-0.23
3.3433,277.455,4,0.0,-2.24
2.518,483.808,9,0.6,-4.44
1.8194,222.893,0,0.2,-4.25
1.979,67.548,9,0.2,-1.77
3.5263,63.93,3,0.8,-1.59
3.8857,224.594,1,0.4,-4.18
4.0621,122.011,3,0.8,-3.93
4.0533,60.508,0,0.2,-0.05
0.9104,390.296,1,0.6,-5.39
2.7249,256.335,7,0.0,-3.57
0.759,180.16,5,0.6,-5.63
2.9729,455.037,1,0.6,-1.07
2.4869,102.263,5,0.4,-5.45
4.4947,480.163,9,0.2,-1.96
2.0791,191.285,8,0.0,-5.66
1.0268,449.782,6,0.0,-1.96
1.1435,321.324,8,0.6,-0.94
3.9268,422.018,4,0.8,-3.61
3.282,492.806,6,0.2,-2.87
0.9551,179.782,6,0.6,-3.59
0.8785,482.511,2,0.8,-4.2
3.6544,225.267,6,0.4,-1.18
0.8274,223.48,0,0.6,-4.37
4.1984,203.174,8,0.8,-1.66
3.6781,293.633,9,0.2,-4.76
0.8661,119.365,5,0.2,-4.5
0.8818,299.17,4,0.0,-3.98
4.9399,293.767,6,0.8,-2.47
2.1842,392.856,4,0.8,-3.27
2.1679,425.142,9,0.6,-1.53
4.1576,248.199,4,0.0,-4.72
4.7626,186.05,9,0.4,-5.94
4.937,166.701,6,0.0,-1.34
3.8902,137.581,9,0.0,-1.07
2.1932,75.941,6,0.6,-5.64
0.8758,204.102,2,0.8,-2.33
3.9972,171.611,2,0.8,-3.73
3.0128,484.888,9,0.6,-1.24
2.409,300.969,2,0.0,-0.75
4.5786,206.275,5,0.2,-0.89
1.0004,311.21,5,0.2,-1.34
2.7168,112.639,2,0.6,-4.39
0.5511,249.82,2,0.8,-1.13
2.609,331.805,7,0.2,-2.8
0.7534,270.004,7,0.4,-5.68
1.0347,230.8,6,0.0,-3.26
1.0289,497.232,9,0.2,-0.35
3.4214,446.142,3,0.4,-0.67
3.8572,330.533,3,0.0,-5.39
3.1252,306.22,2,0.4,-1.54
4.8298,329.297,4,0.8,-1.17
2.1869,140.59,2,0.4,-4.37
1.7857,227.812,7,0.0,-3.17
4.4087,67.757,6,0.0,-1.73
1.5062,263.996,2,0.4,-3.37
4.8345,294.361,8,0.2,-5.32
0.5547,152.487,4,0.2,-1.76
4.8645,483.813,8,0.4,-0.53
0.6942,459.255,6,0.4,-2.09
4.5101,374.964,6,0.6,-1.36
2.8747,290.024,5,0.2,-3.85
4.9683,441.486,1,0.8,-4.9
0.8321,108.794,8,0.2,-2.14
2.9923,405.729,5,0.0,-4.03
4.8619,106.169,7,0.4,-0.84
2.8539,407.395,0,0.4,-5.26
3.3323,174.095,4,0.8,-3.4
3.6309,444.691,0,0.6,-3.62
2.5454,474.819,9,0.8,-0.37
3.324,116.958,7,0.8,-5.08
3.1294,258.204,7,0.6,-5.94
4.5552,491.444,0,0.4,-4.57
0.7045,267.533,8,0.4,-1.08
1.7643,438.596,1,0.8,-4.74
4.7769,314.929,8,0.6,-4.55
4.5062,218.898,0,0.0,-5.22
2.5505,178.603,9,0.6,-1.71
3.2906,141.45,8,0.0,-5.58
1.7482,392.809,3,0.4,-4.01
1.3465,223.943,8,0.2,-4.31
2.5866,280.074,6,0.6,-2.67
2.0901,271.546,5,0.8,-1.62
3.1265,309.776,4,0.2,-2.8
0.8498,439.51,8,0.0,-0.41
4.8848,491.333,1,0.2,-0.29
4.9379,233.413,1,0.6,-3.83
3.6417,422.384,8,0.2,-1.33
2.9124,394.038,2,0.2,-1.57
1.8929,308.088,7,0.0,-0.64
4.1621,480.221,8,0.4,-3.31
3.5813,140.214,7,0.2,-2.82
1.2318,99.169,3,0.6,-3.51
4.5992,434.283,0,0.0,-0.9
4.2014,247.617,3,0.6,-4.62
4.7741,431.136,8,0.2,-4.56
3.7657,451.891,1,0.4,-3.76
3.2604,78.106,2,0.2,-4.62
2.3821,447.559,9,0.6,-2.63
4.6973,251.744,7,0.8,-5.19
4.3973,279.695,5,0.8,-4.08
0.7035,331.967,7,0.4,-0.52
0.6187,466.872,6,0.4,-3.54
2.1941,58.602,4,0.8,-1.51
4.1475,264.58,8,0.6,-5.32
4.9427,359.475,3,0.0,-4.51
1.1769,375.218,5,0.8,-1.16
3.1736,361.64,1,0.4,-1.42
2.214,110.496,1,0.0,-3.68
4.8646,184.728,1,0.2,-0.27
4.2895,211.422,9,0.2,-0.54
4.2725,411.997,6,0.4,-0.23
2.6091,175.442,1,0.2,-3.43
2.3667,144.817,1,0.0,-4.82
1.7303,480.852,8,0.0,-2.24
0.7537,53.988,6,0.4,-1.89
4.3913,499.019,2,0.6,-5.25
4.1581,354.57,2,0.2,-1.28
4.9987,422.811,6,0.0,-5.89
4.9849,182.579,4,0.0,-3.1
2.9994,56.442,9,0.8,-4.01
3.9604,382.041,5,0.4,-1.56
4.7514,425.365,7,0.4,-4.12
4.3234,383.214,8,0.0,-1.04
1.6131,114.283,0,0.6,-2.43
2.5274,389.043,2,0.4,-1.24
1.0812,396.015,6,0.2,-0.06
4.7932,346.343,5,0.0,-1.93
3.2278,394.752,6,0.2,-0.09
1.5289,430.665,7,0.8,-5.83
3.5227,326.122,5,0.8,-3.97
3.2816,89.872,2,0.6,-5.35
2.1117,269.433,1,0.6,-4.43
1.011,84.942,6,0.0,-0.97
3.5221,233.394,0,0.4,-5.81
2.8414,233.198,2,0.6,-2.88
3.9754,79.704,3,0.2,-2.6
2.8407,206.969,0,0.8,-2.63
4.3348,99.949,4,0.0,-3.15
2.9836,413.706,9,0.2,-1.26
3.0242,476.46,2,0.6,-5.2
4.4449,82.542,1,0.6,-4.14
2.3157,479.802,2,0.6,-2.31
1.1031,285.159,7,0.0,-1.85
0.6295,184.805,5,0.8,-3.58
3.8981,84.588,6,0.4,-0.75
3.2914,275.281,5,0.4,-3.51
3.6684,407.532,5,0.8,-3.58
1.4583,368.189,2,0.6,-5.78
1.1137,72.602,7,0.0,-2.69
0.5655,82.806,6,0.6,-1.75
2.0776,231.293,6,0.0,-5.31
3.1546,182.881,5,0.0,-4.17
2.2651,154.573,4,0.4,-1.31
2.4686,176.452,9,0.8,-3.8
4.5687,411.567,7,0.0,-4.55
2.0671,468.153,4,0.6,-1.97
2.813,232.296,8,0.0,-4.82
4.0264,457.75,8,0.6,-0.63
2.2844,194.673,0,0.4,-5.37
3.2994,264.397,5,0.6,-1.76
4.3806,151.713,6,0.2,-3.0
4.7728,338.214,2,0.6,-0.78
1.1618,490.542,6,0.8,-5.24
4.6696,321.572,6,0.6,-1.93
2.7145,211.016,1,0.4,-2.57
1.6621,341.518,6,0.8,-3.12
2.5661,105.314,0,0.0,-3.05
4.9101,449.897,4,0.6,-1.67
2.7168,276.388,8,0.8,-0.37
1.9794,252.207,6,0.0,-5.45
3.3503,313.639,6,0.4,-5.88
1.5807,331.153,1,0.2,-1.17
0.8414,82.299,7,0.4,-5.35
1.08,357.178,2,0.6,-0.08
1.0762,158.869,7,0.2,-2.28
1.1836,371.279,2,0.4,-2.09
1.1247,420.141,9,0.2,-4.81
3.3839,411.781,6,0.2,-4.56
1.3185,298.625,1,0.0,-2.04
2.0555,284.076,3,0.8,-0.54
4.5355,114.294,5,0.0,-0.11
2.6328,398.906,8,0.8,-4.81
3.504,172.134,4,0.4,-5.2
1.2754,273.513,8,0.2,-5.66
1.3653,177.923,4,0.6,-0.79
0.6839,110.223,9,0.4,-4.23
1.2602,333.301,7,0.4,-5.99
1.7537,74.449,0,0.0,-4.66
1.2965,386.89,6,0.2,-3.96
0.8992,192.914,3,0.2,-0.05
1.0429,50.061,4,0.0,-2.86
2.5735,280.008,5,0.2,-4.77
1.4285,71.083,4,0.0,-3.99
2.1392,174.276,0,0.2,-4.02
2.7654,368.139,8,0.0,-5.88
3.6068,78.21,1,0.0,-5.19
0.6769,427.702,8,0.0,-1.83
4.0973,51.719,9,0.8,-5.28
3.3256,161.071,1,0.0,-4.62
0.8679,383.407,8,0.6,-3.9
4.4311,192.322,5,0.0,-1.45
4.6439,95.852,8,0.8,-2.51
0.7749,212.105,5,0.0,-1.87
1.7459,171.677,5,0.8,-2.6
4.1279,429.22,1,0.6,-1.9
3.8672,191.007,7,0.0,-5.98
1.3303,405.02,2,0.8,-0.41
1.4421,451.342,6,0.4,-5.33
2.1671,245.218,4,0.2,-3.56
2.6804,459.474,2,0.6,-1.37
3.2821,219.793,0,0.8,-3.39
2.1601,483.835,7,0.4,-0.32
2.5814,90.18,2,0.2,-3.19
3.8636,359.159,1,0.6,-0.75
0.6651,272.216,0,0.6,-1.14
1.636,224.442,3,0.8,-0.11
3.7101,334.72,7,0.6,-0.44
4.5284,366.736,2,0.2,-0.61
2.8025,51.963,0,0.8,-1.61
2.8945,125.129,3,0.0,-3.8
0.9823,370.871,8,0.2,-5.36
2.5134,349.873,0,0.4,-1.87
2.8968,484.721,1,0.4,-0.13
1.5911,392.467,8,0.0,-1.64
1.7116,477.848,1,0.6,-0.43
2.1978,366.143,2,0.2,-1.17
0.5903,184.123,6,0.4,-5.02
1.9494,97.414,2,0.8,-4.5
1.4515,401.821,8,0.2,-3.95
1.9737,339.867,5,0.0,-4.99
1.0389,71.684,2,0.0,-2.51
4.5074,212.023,8,0.8,-0.15
3.1712,480.56,0,0.0,-1.43
3.556,275.181,9,0.2,-3.46
4.0513,244.728,2,0.4,-5.97
2.743,255.965,0,0.4,-4.12
0.8911,143.997,1,0.0,-2.84
2.917,215.918,7,0.4,-4.05
3.1408,216.416,6,0.2,-5.33
3.8545,73.56,1,0.8,-3.34
2.4425,395.405,1,0.0,-4.48
1.0741,237.427,8,0.2,-0.54
1.777,419.981,5,0.4,-5.39
2.1339,432.657,4,0.2,-5.71
3.4066,145.397,9,0.6,-5.97
3.0685,345.809,5,0.2,-4.03
2.1024,262.527,8,0.2,-2.04
4.9393,446.071,6,0.6,-1.62
3.226,147.083,9,0.4,-3.28
1.5675,355.016,9,0.4,-1.89
0.958,323.488,8,0.0,-3.84
1.1879,182.886,3,0.0,-1.99
1.6068,111.47,1,0.0,-5.76
1.2231,343.238,7,0.0,-3.66
1.3396,382.369,3,0.4,-1.25
1.7829,192.032,8,0.8,-1.18
1.2802,340.175,3,0.2,-1.7
4.5354,227.809,7,0.2,-4.77
0.8611,370.943,8,0.0,-4.52
2.8603,139.647,8,0.2,-0.02
2.3468,450.597,9,0.0,-5.38
4.9207,179.334,3,0.8,-4.92
1.0042,215.504,0,0.6,-5.22
2.2904,76.141,2,0.8,-4.03
4.8626,100.18,8,0.8,-4.74
4.3948,282.138,3,0.4,-3.01
4.1768,170.417,4,0.4,-3.14
1.6606,425.966,6,0.0,-0.59
1.269,56.612,4,0.4,-5.79
3.5089,220.592,3,0.8,-4.08
4.6822,201.805,1,0.0,-2.42
3.0054,58.697,1,0.8,-2.37
3.0723,105.966,3,0.2,-3.12
1.7599,236.139,9,0.8,-1.11
3.9627,271.789,9,0.8,-5.62
1.3417,231.93,8,0.6,-1.11
1.9566,288.922,7,0.6,-3.03
2.4145,317.809,2,0.4,-5.2
2.7842,54.466,8,0.8,-0.69
1.5908,258.843,4,0.8,-2.1
1.0168,483.575,2,0.6,-5.02
3.2478,283.565,4,0.6,-5.8
1.7988,354.894,9,0.6,-5.15
3.1156,190.339,3,0.8,-2.35
1.1946,398.296,7,0.4,-4.92
2.6651,397.815,4,0.8,-4.65
